gene	34787f03-da7e-4f3e-b33f-73b1bf51fb74	410ebafa-bacb-477e-9902-55cc0bdc8464	0a0fb835-dda7-464d-b83c-a2bd68402c6b	66dc8005-3575-4b72-8c02-4f920bdfd8e3	fc0c860a-7c68-457d-bc75-dbade64050c9	45ec0ad2-7de5-4f39-9088-c5a9eb46b10b	dfd27367-2e2a-4aff-80da-a9ec4a445370	001443c3-137d-46ae-a767-87d453b32fbb	8515de6f-3572-4bf3-9dae-bc9b05579e76	d99b331d-7994-4fff-b91f-2ab1e933660c	098382bd-486c-45fe-bdf9-b6b92a595951	7e2c1a80-8fea-4341-b7e2-4e97191078ca	7b1862eb-f21c-4ef4-93c5-e81e353bf5a2	a52f64d0-6f5f-4a7e-8d19-ad5ed83aef21	ce6862ae-e619-4f42-9200-52c75d5a22e7	4a21ef3b-2d39-4588-8763-d2c26254932a	14b7877d-da22-478c-ba7d-65a2a1c19faa	2efa5115-b02b-4a85-ae82-3054cd3d646a	f2dddb70-466e-4457-9841-c353233fb5ab	11c4219b-60ec-4730-9ea4-5d7922a7bb6c	0bc1d5cb-2064-4ae7-b821-1e999ef57fa5	e22176fd-5103-42c7-b5e6-555d883a39aa	a790f7ac-9316-4ce4-983a-16d1c3513960	ac171614-a8cb-42eb-ab5c-84964727866d	316b3a1a-89a5-4cff-9528-34f564af605d	de645724-4408-4771-9814-cdeffec79758	c36ca54a-8e53-414a-905f-bc777f892a76	ebf56b30-bfce-4782-a66c-84b8e054fd2a	9f1ac770-6106-40f8-9f7e-2538d1b3336a	d05d0b28-7c88-4192-9897-54bd3aacfaa3	0057f9f7-779b-4914-8290-abbad2a0d81e	87923f16-7136-4bc6-a217-ca6d13b49455	56b27734-cf5d-49e0-8d28-768b16db4769	843b1db2-5b28-4b3d-bede-1ba7d1d91756	7e002796-b2b7-4ea4-9ecf-8e9d94373804	284f7003-5c83-48c7-84b5-f08d4875cbb1	a9c824b6-4214-4c8a-9914-0d418f609e5d	613d32ad-0ac5-461f-99eb-83fdbd200076	e21a08db-30de-4b61-adb2-0a291137572d	85b225f2-d4dc-4701-b63f-e3a3b0e5c459	4dda7ac4-588a-4d4c-ba34-b19411817d52	3baf5546-99d9-417b-97bb-e00dda7ebcdd	10d765a5-8f18-45ef-b218-4784efe1ade0	c8d6068e-338c-4d0e-b956-07dc2e5906fe	6b21f292-1752-4682-b885-9cc145c4a5a9	68f8a449-b41e-471d-b82c-bc5f309f6b8e	d8e252a9-d0a7-4c62-a0ab-3631df93f0e5	76be312d-44cf-427f-af75-878538e7b38b	17361c24-a448-41b1-b653-172347c660a5	8bd3266c-43d0-46d0-bbf9-19050864f11d	25e3cf1c-d40b-45ab-b987-2370cc638868	f5487583-cdac-42ba-8f7f-b1704ea21cad	0b2cbe7c-8392-4072-95af-9ded20aa3888	1fb2c97b-ed35-45f6-a7bb-ad55ad668d1f	9fe4c0e2-bd31-453d-a6a2-3ceac8314fe8	7713e075-01d5-466b-ae5b-aa019a9f4db8	bb755636-09e2-43e0-a957-79928a6e4f73	5647d775-827e-478b-ae8b-a7b872ad3fe6	99d6fe5c-a560-4df9-b85d-3d657d9be33e	2f773549-6729-45df-9d58-485eb019cde9	11dbf166-e0e8-4183-bd7f-465ed95deba2	5f6c1690-7f39-4fbb-bee2-266c6f6fc307	8b6e8309-2206-4269-8b92-0f42702cbc3d	cab8720a-5ee4-48da-aae3-6b426e5348dc	050c2191-b96c-41e7-abdb-e52cbe82f268	c3d39ee9-f15a-4f10-a04c-1a42e612e387	e68d3264-a868-4857-8b75-4b49207b2298	818c7f77-a481-41bb-b5e0-57972e0b1bdf	52721a41-bb67-4e05-b718-18315be16624	50c214e8-6c8a-45c2-8f64-6aa3256f639b	cac889a5-fc02-4e4d-94e1-41a22e839473	3e52792e-2ad1-4140-930e-3ce0ec01df84	919d8bde-c3b7-4cd9-8463-938afdb89ad7	976c3fd8-2aec-4dc9-9343-cf0df50b60a3	e971e2c8-4056-41a3-a44c-9ef5c1f33896	35c73123-2cca-4a05-a5ff-a7897065355b	23c5df47-2ae6-49e0-b34c-92d348a5e87f	cf875269-5309-4c0e-bc92-95318feeb2da	e18a3b30-dcfc-43eb-b975-29d92bb221ea	18e0c9ca-059f-4042-a790-de9a3881c177	17f88e17-e1ff-43eb-b97f-55f562c786f1	ef2acd8c-22e3-4c71-a8b3-87bb62befa65	9890e951-c9aa-4397-ab84-2af7e04429da	635c048b-b3a3-4321-985d-4896ec4af74c	2d48d8a6-2bb0-45d7-a87e-4d2959a33b2b	bef017dc-614b-4e50-9bb1-1ef9cbc4733b	e6e92830-45a9-4a95-ab45-2c36bdbe827b	9b173f02-ee88-4b4e-bbce-40e30a7eb229	35aae416-bae3-44d6-8b74-d95e0dc0c0f7	97c340e4-54be-4016-a335-be29ba5e8e94	4baa577f-afc5-4df6-9307-d73dca8ea70e	c8390739-3d2e-4838-bed7-7eb4c2449958	a68ddba5-e6c9-47a0-b657-7c8b76603108	109738bc-13fb-4c2e-bb39-59006ba50306	a6b94568-34e2-40f4-a5e6-8d73be0b7e6d	a432d310-ef23-415e-bfb9-d0110ecd418c	f140c04c-d178-4462-8e18-f7b6e8b11d40	f058f6e2-2e68-4ae5-97ab-32bad4c51a4b	d3e970b2-7551-4fef-9473-867bb8c4e09d	0ea136b8-d90d-4614-b77b-301e77f84598	5c72dba2-2949-4168-8430-0e3804cdcbf3	152c3c10-0e7f-4294-aa47-499777063161	b5bda3f8-1a43-4847-88b6-6a17ce11d29b	a96481d1-916b-4707-a374-0b20ae649a05	dcf7eb63-242a-4a7f-9986-1eb75227b9cd	1273ee99-65c0-4eb7-a083-429f3316f099	5282f669-d5f4-4545-bf0d-b2e2927b4255	c6f6c556-9f0a-4f1d-96ca-08af287acbfe	4a63fd9a-7138-4590-a18c-a2684d24c60f	862a5b7e-42b8-45de-a0fd-0f52263ee97c	a7c9b6b2-0654-446b-90f3-4ec3cf181e3b	190b146c-1fb5-43dc-a1da-37eab64cf84f	6704e7a7-975f-424d-976b-69f8db50f05f	dcc60493-195a-46a1-87e2-0805fc7b317c	25a2da7a-d1a3-4c08-9158-41d70772a5f0	020c941f-5fc2-4804-8de6-a20d2b5d6d60	a2b8f7d7-3e9b-4e7f-9198-fb1d75a2eb0a	d9bb2e43-26d3-49f8-92bb-604b4d3005ec	6c7bd630-bd5d-45b6-9936-56ad3e4f72a6	a55363ab-18f6-4200-9c76-628786e26d11	ddfdcd45-0d1c-4efd-89a4-2fe6bc789bfe	96045fce-b112-4125-8be3-bb998a8e98c0	a2c96f81-12eb-4c6d-9e17-bc8bff343539	ca6eb99c-bd11-4cca-9507-a1fd60afe813	29dffd79-dbc1-4cf3-b79e-264c680af667	c7721620-0a0f-47b6-9901-b5c2ded85b15	763a76b6-9065-4a53-8c9e-e39580d908d9	4684fde1-545e-4ae3-a987-c736772d0cf8	46f45cc1-9766-4233-8b17-e2345bde7ce5	57511dd9-3408-4595-9a86-82c5f6b3268b	6fa36fef-2408-48b9-be0d-3624a2066b3a	a6221e12-d28b-4539-94ac-133d4999e5e4	c03a3f09-9bed-4efe-8d8a-ac4624d5fa2c	390bf39f-06bf-45b0-8225-38a0694f43f6	8b011797-71ab-4903-b227-0602a8ab2c95	a3ef039b-9282-470d-a031-2c0572a43053	f147b580-725f-401a-ad5f-9baabe99aac9	207c04e4-3a0c-415f-941a-191d1b5b9401	1c4a8707-e85f-4868-b06d-97cf991c74e1	abd6f1e5-2772-4baf-809b-58209f8d525f	2e81aa42-67f0-4a4b-911d-a6772e8f0d8b	a5af7ad5-30cc-43c2-85a6-676517c04234	3ec8356c-b035-44a5-8f51-8aad764da4ac	bdfb1fda-ce7b-403a-9a15-375c1d041c11	145d7c19-c3fd-4244-95af-f11d5e113306	1a827c90-eb77-4ec0-8f51-5c7c1c09593a	74414dbc-deae-4350-a11d-faa265c96715	6e3a2a2a-40c4-499c-bb8b-5b6a10862eb9	20584a83-28a9-46f0-b9f6-90facf34c76e	c1bc5e85-db3f-41a5-bcfc-32f9c7b5cfee	aae660ac-0442-46d1-ae42-fe007cb14cb7	72a3ee9c-134d-4338-8287-c0fd9dc493ff	fd80bdb7-d293-49e0-8b72-0dd50fbeaac1	54486038-2cb9-48e7-a3ca-d6b02fb5f807	be27b78a-f543-497a-96d8-44e21898b502	f35b99b4-82aa-40f7-bd9e-add95533b3d5	cb1516d5-4cd5-4a6d-95fa-852ac03f8935	5eba7c31-9866-41d9-a9b3-d4b80ee7f631	ffff66b2-a9ac-46ba-93c8-11f6a637e16c	f0b52bcf-d7b4-4daa-82bb-e13e2d753be9	19aa7fd7-e119-41a5-a6d4-ea36f9f1aaab	44f37fd7-4c70-4646-b915-b7be1e078935	1a5ca572-92cb-482d-a04b-65aa519c9fde	5bbb5bfd-1842-449a-89bc-2ec5990c0b1d	ace08b32-d427-4d62-b455-a37a7010be68	b44ca533-fb1e-4f34-b85c-a8b47f972332
ENSG00000000003.13	824	1630	2217	2268	363	3112	648	1128	528	1246	889	596	683	655	1378	1915	870	539	1398	3749	1849	1963	715	773	1701	233	2570	1023	1842	2711	1524	820	811	599	516	2910	2563	859	1448	1622	1774	1101	1472	932	1252	1749	675	1976	701	1148	509	1446	2023	613	813	352	1853	1878	678	1059	223	1075	1139	1252	1046	1539	1871	508	740	1334	1205	1348	369	1400	1332	2118	1125	3263	619	664	1605	1032	759	853	854	1659	2989	537	967	2417	2091	2459	1395	1168	4003	332	638	828	493	1203	472	393	1020	740	1118	2558	816	1716	579	1360	1325	1378	1079	980	1783	980	593	850	1309	1384	719	1002	1528	542	1131	1452	333	1445	1466	726	3385	2691	1380	976	3362	727	812	1851	2046	931	383	1347	918	1168	1612	2416	1167	1865	2487	2330	465	1315	2016	534	1290	338	3714	1275	2362	2140	487	2416	2360	1876	509	565
ENSG00000000005.5	2	0	0	0	0	0	0	1	5	1	0	0	26	0	3	194	0	44	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	6	0	0	0	12	5	2	0	4	0	2	0	30	1	2	0	2	22	0	3	0	0	0	2	1	0	1	0	0	5	0	0	0	2	0	0	2	2	0	0	0	1	0	0	24	0	1	3	5	0	0	0	37	94	0	3	0	6	0	0	0	0	0	0	2	0	6	1	0	0	6	1	1	0	0	0	1	11	0	20	0	2	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	1	0	0	4	4	0	0	0	29	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	1	0	1	0	0	41
ENSG00000000419.11	1344	675	726	760	172	1507	1956	1035	1656	2267	806	319	807	113	1178	1845	1836	2049	1539	1791	359	391	537	460	1844	1350	1050	2058	926	1048	1062	1480	666	145	1852	1345	659	1122	703	1337	1845	2174	1378	2095	1278	2094	2402	2199	1829	1496	1768	2356	1768	1636	837	1545	345	1294	1507	2008	695	2601	647	1825	1190	1180	487	1108	1106	883	771	2247	758	1108	349	587	1624	1352	1175	1445	1042	686	1755	1811	1182	941	1063	952	964	846	2132	1284	2996	1890	910	1036	1009	1678	328	1567	1116	1929	2026	98	274	1982	372	1526	343	354	442	2341	1488	348	2097	595	1777	1408	1930	1861	1427	1084	2211	184	308	2682	1052	2060	2098	1570	608	1068	937	787	1269	675	1036	543	1611	1683	268	1553	189	1513	1721	1104	428	1115	710	508	284	1416	710	1706	1403	219	2548	1175	1016	2332	2504	1123	1179	277	224	560
ENSG00000000457.12	420	430	559	548	98	658	417	818	381	632	435	227	334	70	893	1022	671	374	159	536	270	312	374	229	703	402	711	635	635	642	462	647	346	86	322	798	435	631	518	412	595	386	394	977	1066	336	266	407	383	873	610	414	1000	673	344	297	121	824	356	1039	404	820	331	553	548	741	235	668	417	449	562	564	345	916	178	416	441	986	671	395	608	581	811	632	811	736	889	479	478	746	764	758	379	622	598	604	300	723	126	346	490	473	347	88	184	576	206	874	198	206	348	352	437	241	696	355	1100	517	411	387	622	788	547	228	288	1721	358	823	867	457	534	832	656	207	787	323	652	420	427	214	210	435	175	521	521	785	406	338	593	464	182	644	685	345	733	180	644	778	782	665	509	695	726	242	102	208
ENSG00000000460.15	271	185	167	151	27	276	234	181	270	566	163	87	158	20	454	643	233	102	140	440	88	101	61	71	501	248	238	303	213	155	228	308	85	22	78	386	174	220	184	597	953	417	324	484	249	339	202	390	426	278	202	708	524	257	161	501	44	250	131	956	183	242	144	264	249	217	158	304	196	205	179	320	128	207	75	151	291	243	311	268	184	243	307	340	172	209	240	241	281	275	760	294	340	323	174	267	97	416	57	180	205	229	764	37	55	626	66	357	97	76	95	170	398	79	398	138	484	328	257	528	183	157	384	54	89	1715	285	1234	533	458	182	245	179	103	282	334	239	128	440	157	55	256	19	339	418	240	144	182	139	113	78	265	161	273	192	63	298	256	203	486	423	186	243	60	40	124
ENSG00000000938.11	286	41	41	325	36	68	375	1177	656	490	100	26	566	27	569	373	514	956	542	801	40	44	83	5	272	1913	31	2020	72	26	310	713	79	45	7732	63	97	18	269	456	286	494	254	136	43	451	544	500	1385	395	880	935	414	466	455	320	83	108	370	527	211	1316	11	886	309	93	28	114	112	86	174	1624	3038	43	26	15	1130	45	29	420	112	25	616	3144	289	40	13	805	263	9	246	243	1528	281	52	569	353	250	111	487	417	980	767	28	9	436	155	185	52	36	25	266	267	141	652	40	282	640	1171	1176	283	339	480	1	22	273	790	316	722	355	40	13	99	242	16	225	37	41	993	231	26	274	234	1730	2021	61	91	498	19	247	16	184	28	137	119	70	69	310	27	215	600	36	74	24	71	92
ENSG00000000971.14	48360	126	174	251	64	147	21802	1722	22432	21536	117	220	13263	50	108267	39906	8590	66724	45492	15901	570	292	301	70	48689	23775	198	9760	694	282	32937	12311	90	143	2050	152	145	42	1029	10342	23943	110945	35312	2630	790	2328	11845	6246	8368	13043	7085	12145	31013	4223	13873	22264	201	139	2895	51111	2875	35668	51	29431	39175	233	104	33932	16524	259	10146	77777	3073	2235	27	120	35540	148	56	26953	261	180	41017	25614	710	410	1232	26568	120404	846	15860	514	4041	10546	192	2458	3237	5613	123	132481	6827	9221	15555	25	20	39591	40	280	48	160	46	33347	38909	534	166796	201	98496	21716	9544	10658	1721	552	57686	72	48	19740	8742	50851	152374	18139	425	683	377	4679	109	18436	189	660	34513	61162	185	77500	197	47718	31240	1879	498	22550	981	810	222	303	182	33000	417	35	199	670	3039	107820	21761	296	244	167	27	1018
ENSG00000001036.12	3614	5041	3653	2154	798	4908	3026	5486	6444	9201	5183	2689	1909	2294	2952	2899	3055	2009	3556	2963	3549	3103	2637	2230	4146	5833	2358	4730	1364	4712	3034	3486	907	786	2436	2056	5083	4580	3464	4480	6057	4864	4338	1588	5880	7457	2959	4291	1716	2234	2900	4777	3464	3917	2510	4930	2171	6494	3518	6835	1813	4412	2613	5806	2807	3075	3151	1831	2047	3056	3869	5498	2249	3796	1363	1624	9412	2519	3435	7283	5621	4325	3486	5647	4593	6915	4072	2529	3492	3519	3745	10039	5584	6518	5208	5165	1995	8851	1464	2324	3175	3018	9796	1494	1855	5255	1880	6772	3859	5094	2525	7433	3141	2460	6193	2216	4633	3618	4023	3926	2144	5231	3520	1397	1389	3054	1892	2325	2959	3323	4820	3931	3485	2073	6185	1269	4578	6366	6894	3149	2314	3576	1893	4886	5299	2513	3785	3299	3516	5268	2846	5246	4005	3144	4226	2738	5634	3040	3705	4832	3472	2549	6287	2519	942	1461
ENSG00000001084.9	772	765	1382	2219	196	2713	915	2854	1442	1298	846	302	533	134	1346	1525	952	1162	478	1243	513	878	645	398	1226	2075	2250	1422	1940	1488	1088	1684	570	164	674	3609	721	980	1227	2584	839	995	930	645	1675	261	479	1710	1207	1049	781	1058	2121	1012	744	589	342	1618	613	1530	451	1112	914	1234	650	1998	793	1483	418	1878	1084	1311	828	1711	242	633	1711	1066	1119	1084	1479	898	1214	1078	1236	1767	1297	927	867	1171	1320	2342	1084	817	923	1586	746	804	346	1220	1095	1013	889	87	241	2079	653	2034	427	483	917	2171	458	573	2061	1052	943	1557	1420	1273	1677	1498	1105	180	636	2955	942	1667	570	2547	726	1412	1292	461	1682	430	1450	1157	1359	1244	244	2053	161	1434	1255	2262	493	938	1507	806	305	964	1118	1075	2029	331	1115	2593	1981	1387	1072	1181	2830	366	216	446
